Product,Region,Sales,Profit,Discount,Category,Date
Chair,West,396.0,61.74182513455156,0.34,Furniture,2023-06-22
Pen,West,3.2,0.3781250356640906,0.36,Stationery,2023-01-22
Pen,South,6.3,0.8463989526571977,0.37,Stationery,2023-02-09
Monitor,South,690.0,184.59005206683028,0.31,Technology,2023-05-29
Phone,West,1580.0,125.71839821822864,0.21,Technology,2023-04-10
Table,South,744.0,56.89881493692934,0.38,Furniture,2023-02-02
Backpack,West,36.4,1.990987183970832,0.09,Stationery,2023-06-01
Chair,North,450.0,124.04232849705804,0.25,Furniture,2023-02-23
Pen,South,7.199999999999999,2.1056563219441475,0.28,Stationery,2023-02-12
Backpack,West,112.0,15.783901586393432,0.3,Stationery,2023-04-13
Pen,West,3.0,0.6395927377541182,0.4,Stationery,2023-05-02
Keyboard,North,216.0,36.4336651235743,0.1,Technology,2023-05-12
Table,South,522.0,51.753998199246986,0.13,Furniture,2023-01-24
Chair,North,112.5,8.327767722017711,0.25,Furniture,2023-04-06
Backpack,South,78.4,18.409566156206715,0.02,Stationery,2023-04-04
Backpack,West,152.0,25.873954171774187,0.05,Stationery,2023-01-01
Backpack,West,100.8,22.490297408124498,0.37,Stationery,2023-05-02
Chair,West,283.5,54.9952078725442,0.37,Furniture,2023-05-29
Pen,West,3.3,0.7559699433978165,0.34,Stationery,2023-01-11
Backpack,East,31.200000000000003,8.025732227895434,0.22,Stationery,2023-05-09
Headphones,West,345.6,100.41309029814666,0.28,Technology,2023-01-31
Monitor,West,570.0,119.54625336296208,0.24,Technology,2023-02-10
Laptop,North,1952.0,242.74923201730525,0.39,Technology,2023-03-09
Table,North,540.0,146.03427385040513,0.1,Furniture,2023-05-02
Keyboard,South,96.0,10.332792564151918,0.2,Technology,2023-01-26
Keyboard,West,145.8,18.282402067787324,0.19,Technology,2023-04-15
Laptop,West,560.0,46.96636899114304,0.3,Technology,2023-01-14
Notebook,South,23.4,4.991224796164232,0.22,Stationery,2023-01-12
Monitor,East,480.0,35.671191247580865,0.36,Technology,2023-05-06
Backpack,South,126.4,9.487169639068716,0.21,Stationery,2023-02-05
Headphones,East,144.0,39.767318791542486,0.4,Technology,2023-04-15
Table,South,198.0,30.264137825894995,0.34,Furniture,2023-01-03
